lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
B.1.1.415,16.57,-8.22,28,18,2020-04-07,2021-01-07,2020-12-13
B.1.1.311,13.71,-7.25,2125,1027,2020-07-29,2021-02-16,2020-10-16
B.1.1.391,12.99,0.3,133,98,2020-03-14,2021-03-09,2020-06-12
K.1,15.41,-0.59,29,17,2020-07-23,2020-10-07,2020-08-01
B.1.1.277,18.37,-2.08,1070,516,2020-03-17,2021-04-17,2020-10-08
K.3,18.03,-2.78,161,55,2020-08-29,2020-12-09,2020-10-13
K.2,17.11,-6.75,9,8,2020-10-06,2020-12-27,2020-11-29
B.1.1.227,16.9,0.91,182,55,2020-06-13,2020-10-02,2020-08-01
B.1.1.481,13.92,-6.2,12,10,2020-08-18,2021-02-15,2020-10-03
B.1.1.338,18.33,-7.36,54,27,2020-12-02,2021-03-01,2020-12-27
B.1.1.336,18.57,-7.5,49,42,2020-10-04,2021-05-18,2021-01-02
B.1.1.522,23.83,-6.49,46,25,2021-02-08,2021-04-07,2021-03-07
B.1.1.329,18.31,-4.05,196,115,2020-06-02,2021-04-06,2020-11-06
B.1.1.119,11.53,-1.01,17,8,2020-04-15,2021-03-05,2020-06-09
B.1.1.282,14.63,-3.27,71,42,2020-03-26,2021-08-07,2020-08-30
B.1.1.433,24.27,-1.19,624,210,2020-08-09,2021-03-19,2020-12-23
B.1.1.355,19,-3.69,57,40,2020-09-10,2021-01-30,2020-11-11
B.1.531,23.2,-3.5,10,6,2021-01-02,2021-01-24,2021-01-11
B.1.1.280,16.18,-8.19,141,103,2020-07-30,2021-04-26,2020-12-07
B.1.1.141,18.34,-10.31,355,249,2020-06-16,2021-06-21,2021-02-10
B.1.1.343,21.88,-3.07,8,5,2020-11-09,2021-02-04,2020-12-15
B.1.1.31,14.46,-4.4,13,13,2020-08-09,2020-09-25,2020-09-14
B.1.1.330,22.53,-3.63,15,10,2021-01-02,2021-01-04,2021-01-03
B.1.1.396,12.5,-6.51,6,6,2020-07-25,2020-12-28,2020-09-16
B.1.1.46,20.25,-2.79,208,157,2020-04-20,2021-06-25,2020-11-16
B.1.1.351,24.52,-4.14,312,190,2020-09-10,2021-05-04,2021-02-10
B.1.1.201,13.73,-2.91,41,34,2020-04-29,2021-01-12,2020-08-11
B.1.1.353,22.03,-4.9,36,26,2020-10-19,2021-02-27,2021-01-15
B.1.1.354,19.02,-6.33,186,158,2020-05-19,2021-04-30,2020-12-22
B.1.1.182,18.29,-6.24,7,5,2020-09-25,2021-01-30,2020-12-09
B.1.1.389,20.04,-3.97,157,140,2020-06-18,2021-04-07,2020-12-01
B.1.1.196,18.29,-2.91,116,64,2020-08-26,2020-12-09,2020-10-19
AM.1,19.57,-6.19,7,6,2020-11-09,2021-01-18,2020-12-28
B.1.1.216,20.23,-4.27,661,556,2020-05-06,2021-05-25,2020-12-09
AM.2,19.75,-3.79,4,4,2020-11-24,2020-11-24,2020-11-24
AM.4,24.36,-0.88,78,52,2020-11-05,2021-05-02,2020-12-20
AM.3,23.29,0.11,21,6,2020-11-10,2020-12-08,2020-11-18
B.1.1.28,17.59,-3.19,2352,1991,2020-03-05,2021-09-10,2020-10-13
