lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
XS,69.71,16.42,21,9,2022-01-19,2022-03-07,2022-02-21
XF,64.24,12.62,21,7,2022-01-13,2022-02-14,2022-01-26
BA.1.10,63.62,11.9,856,545,2021-11-26,2022-03-31,2022-01-28
BA.1.13.1,66.24,14.35,1542,882,2021-12-12,2022-04-10,2022-01-31
BA.1.7,63.52,12.02,177,109,2021-12-11,2022-03-15,2022-01-25
BA.1.12,64.87,13.26,915,570,2021-11-22,2022-04-25,2022-01-26
BA.1.13,63.5,12.72,1342,998,2021-11-18,2022-04-22,2022-01-14
BA.1.17,63.78,11.68,24096,16024,2021-11-20,2022-05-11,2022-02-03
BA.1.17.2,65.52,13.48,67635,39398,2021-11-17,2022-05-20,2022-02-02
BA.1.17.1,64.39,12.73,108,80,2021-12-21,2022-03-23,2022-01-27
BA.1.1.18,64.87,12.86,29178,17934,2021-12-07,2022-05-17,2022-02-01
BA.1.15.1,66.68,14.93,12412,7397,2021-12-03,2022-04-23,2022-01-28
BA.1.15,65.34,13.96,86837,53386,2021-11-25,2022-05-20,2022-01-23
BA.1.15.2,67.4,15.19,1323,968,2021-12-12,2022-05-06,2022-02-05
BA.1.18,63.72,11.37,22210,15598,2021-11-11,2022-05-17,2022-02-07
BA.1.20,63.72,12.5,18092,10673,2021-12-01,2022-05-10,2022-01-20
BA.1.9,63.86,12.61,512,366,2021-12-17,2022-04-25,2022-01-21
BA.1.22,63.98,11.33,50,46,2022-01-18,2022-03-10,2022-02-11
BA.1.4,61.39,11.59,87,55,2021-12-07,2022-02-20,2021-12-30
BA.1.2,64.27,13.8,11,10,2021-12-24,2022-02-03,2022-01-09
BA.1.5,63.35,11.51,317,175,2021-11-29,2022-04-14,2022-01-30
BA.1.6,63.18,12.26,255,164,2021-12-10,2022-05-02,2022-01-16
BA.1.3,64.33,13.27,409,167,2021-12-20,2022-03-28,2022-01-18
BA.1.21,62.84,12.12,4103,2182,2021-10-24,2022-04-23,2022-01-13
BA.1.21.1,61.18,9.71,416,322,2021-10-11,2022-04-05,2022-01-24
BA.1.19,62.11,11.31,1486,1106,2021-11-15,2022-04-14,2022-01-14
BA.1.8,64.34,12.87,475,316,2021-12-14,2022-03-30,2022-01-24
BA.1.14,62.91,11.69,4079,2891,2021-11-22,2022-04-28,2022-01-20
BA.1.14.2,63.68,12.28,412,288,2021-11-30,2022-03-25,2022-01-23
BA.1.14.1,63.81,12.08,2123,1585,2021-12-06,2022-05-02,2022-01-28
BA.1.16.2,65.15,13.5,54,48,2021-12-23,2022-02-24,2022-01-27
BA.1.16,65.02,13.5,4176,2503,2021-12-02,2022-04-19,2022-01-25
BA.1.16.1,66.65,15.39,91,52,2022-01-03,2022-03-04,2022-01-21
BA.1.1.3,63.09,12.49,193,157,2021-12-04,2022-03-22,2022-01-11
BA.1.1.4,66.48,14.28,995,521,2021-12-13,2022-03-26,2022-02-04
BA.1.1.1,64.68,11.56,29532,19285,2021-12-06,2022-05-15,2022-02-18
BA.1.1.10,65.99,13.85,1896,1034,2021-12-02,2022-05-10,2022-02-03
BA.1,62.5,10.9,174620,105858,2021-09-11,2022-05-20,2022-01-26
BA.1.1.13,65.97,13.78,4062,2121,2021-12-09,2022-04-13,2022-02-04
BA.1.1.7,62.64,11.85,479,323,2021-12-08,2022-04-16,2022-01-14
BA.1.1.2,65.56,13.37,49298,18300,2021-12-07,2022-05-06,2022-02-04
BA.1.1.14,66.34,13.91,9393,5648,2021-11-25,2022-05-09,2022-02-08
BA.1.1.8,65.6,14.3,519,352,2021-12-03,2022-03-29,2022-01-22
BA.1.1.17,65.65,14.22,274,202,2021-12-03,2022-04-07,2022-01-24
BA.1.1.16,66.46,14.35,2283,1290,2021-12-02,2022-05-04,2022-02-03
BA.1.1.5,65.61,13.35,230,151,2021-12-12,2022-04-19,2022-02-05
BA.1.1.11,63.49,12.33,1720,1333,2021-11-30,2022-04-22,2022-01-19
BA.1.1.15,67.45,15.24,7155,3847,2021-12-12,2022-04-30,2022-02-05
XP,68.29,14.08,42,9,2022-02-22,2022-03-18,2022-03-07
BA.1.1,65.09,13.35,476625,283198,2021-09-20,2022-05-21,2022-01-28
BA.1.1.6,66.45,14.8,710,309,2021-12-10,2022-04-12,2022-01-27
BA.1.1.9,65.84,12.49,166,96,2022-01-16,2022-05-06,2022-02-22
BA.1.1.12,66.38,14.05,2211,1087,2021-12-08,2022-04-04,2022-02-06
Unassigned,55.72,2.1,2914,2328,2021-01-03,2022-05-24,2022-02-26
BA.3.1,62.57,10.12,265,190,2021-12-15,2022-05-12,2022-02-08
BA.3,60.28,11.04,60,50,2021-11-24,2022-04-23,2021-12-21
XK,62.36,8.67,11,7,2022-02-13,2022-03-09,2022-02-27
XM,64.22,9.42,37,14,2022-02-14,2022-04-26,2022-03-16
XH,68.56,16.53,45,23,2021-12-30,2022-03-28,2022-02-02
XE,67.57,12.19,1553,697,2022-01-19,2022-05-21,2022-03-25
XJ,69,16.49,66,11,2022-01-19,2022-03-07,2022-02-09
XG,70.7,16.62,181,72,2022-01-11,2022-05-12,2022-03-05
XL,73.08,18.47,51,10,2022-02-06,2022-05-03,2022-03-13
XU,72,20.8,1,1,2022-01-20,2022-01-20,2022-01-20
XR,71.39,17.54,56,24,2022-02-13,2022-03-24,2022-03-02
XQ,68.78,14.18,55,19,2022-02-12,2022-05-08,2022-03-13
XN,70.75,15.71,89,18,2022-02-13,2022-05-04,2022-03-20
BA.2.29,72.22,16.09,1882,900,2022-01-17,2022-05-19,2022-04-05
BA.2.20,74.19,17.45,588,356,2022-02-28,2022-05-18,2022-04-15
BA.2.24,72.39,16.1,1377,652,2022-01-27,2022-05-16,2022-04-08
BA.2.31,72.32,16.39,771,520,2022-01-12,2022-05-17,2022-04-02
BA.2.1,73.12,18.46,8290,3715,2021-12-31,2022-05-23,2022-03-14
BA.2.33,72.27,16.62,111,74,2022-02-09,2022-05-16,2022-03-29
BA.2.8,73.27,18.06,4661,1675,2022-02-05,2022-05-20,2022-03-22
BA.2.32,72.37,16.83,661,433,2022-01-11,2022-05-20,2022-03-27
BA.2.5,72.01,16.52,1319,960,2022-01-05,2022-05-21,2022-03-27
BA.2.27,71.76,16.79,87,71,2022-01-04,2022-05-09,2022-03-19
BA.2.11,73.08,16.45,248,162,2022-02-24,2022-05-21,2022-04-13
BA.2.28,74.57,19.8,47,38,2022-01-13,2022-05-15,2022-03-16
BA.2.23,70.45,14.84,9727,3971,2021-12-08,2022-05-21,2022-03-28
BA.2,71.48,16.72,579094,331506,2021-12-01,2022-05-24,2022-03-15
BA.2.30,72.52,15.89,130,67,2022-02-23,2022-05-17,2022-04-13
BA.2.18,73.17,16.45,2929,1499,2022-02-19,2022-05-23,2022-04-14
BA.2.4,73.33,18.19,280,218,2022-01-03,2022-05-18,2022-03-21
BA.2.26,72.44,16,702,358,2022-02-13,2022-05-18,2022-04-10
BA.2.10.1,72.99,18.59,2512,1394,2021-12-24,2022-05-23,2022-03-10
BA.2.10,71.69,16.91,25183,13954,2021-12-11,2022-05-21,2022-03-16
BA.2.17,73.03,17.39,130,107,2022-02-17,2022-05-05,2022-03-29
BA.2.21,75.34,18.67,837,454,2022-02-09,2022-05-21,2022-04-14
BA.2.12,73.25,17.08,3653,2487,2021-12-06,2022-05-24,2022-04-06
BA.2.12.1,77.03,19.34,36563,18397,2022-02-22,2022-05-24,2022-04-29
BA.2.3.4,75.74,19.09,411,245,2022-03-01,2022-05-19,2022-04-13
BA.2.3,73.67,17.23,45293,25862,2021-12-19,2022-05-23,2022-04-10
BA.2.3.1,74.26,18.46,3121,1538,2022-01-10,2022-05-13,2022-03-31
BA.2.3.2,74.72,18.66,945,644,2022-02-08,2022-05-23,2022-04-04
BA.2.3.3,68.67,12.56,209,174,2022-01-31,2022-05-12,2022-04-05
XT,64.63,11.38,8,8,2022-01-24,2022-03-24,2022-02-20
BA.5,72.01,14.07,1968,1308,2022-01-05,2022-05-23,2022-05-03
BA.4,76.77,19.11,1592,1140,2022-03-01,2022-05-23,2022-04-29
BA.2.19,71.17,16.86,180,127,2022-01-27,2022-05-12,2022-03-09
BA.2.16,70.74,16.62,338,132,2022-01-08,2022-05-13,2022-03-06
BA.2.15,73.93,18.78,96,74,2022-01-19,2022-05-07,2022-03-21
BA.2.25.1,74.25,19.1,40,36,2022-02-08,2022-05-01,2022-03-21
BA.2.9.1,79.07,21.93,323,134,2022-03-09,2022-05-18,2022-04-21
BA.2.9.2,72.63,17.07,379,202,2022-02-08,2022-05-16,2022-03-27
BA.2.9,72.87,16.91,97093,60771,2021-12-12,2022-05-24,2022-04-03
BA.2.6,73.22,17.6,923,650,2021-12-23,2022-05-17,2022-03-29
BA.2.7,72.7,16.62,1634,928,2022-01-19,2022-05-18,2022-04-04
BA.2.14,71.15,15.63,1210,694,2022-01-31,2022-05-22,2022-03-27
BA.2.13,75.4,18.07,800,509,2022-02-14,2022-05-23,2022-04-24
BA.2.22,74.58,19.13,963,493,2022-02-02,2022-05-21,2022-03-26
BA.2.34,72.76,17.85,331,206,2022-01-05,2022-05-17,2022-03-18
BA.2.25,70.88,16.29,362,266,2022-01-03,2022-05-15,2022-03-13
XD,69.76,17.77,17,14,2022-01-03,2022-02-21,2022-02-01
AY.106,42.68,-0.79,1651,1193,2021-03-09,2022-01-22,2021-09-24
AY.128,43.57,-1.47,466,341,2021-05-15,2022-01-10,2021-10-18
AY.110,40.85,-0.54,2833,1800,2021-02-09,2022-01-28,2021-08-23
AY.131,44.14,-3.22,279,225,2021-07-05,2022-02-08,2021-11-22
AY.117,44.85,-0.28,8415,4825,2021-05-11,2022-04-11,2021-10-19
AY.78,42.21,-0.22,449,276,2021-06-19,2022-01-03,2021-09-08
AY.109,46.18,0.74,2056,1385,2021-06-16,2022-02-07,2021-10-24
AY.118,42.62,-2.33,13662,8693,2021-06-07,2022-02-06,2021-10-17
AY.1,43.21,1.65,1786,1136,2021-03-31,2022-01-13,2021-08-26
AY.85,47.36,1.08,3991,3055,2021-03-09,2022-03-10,2021-11-06
AY.92,46.04,1.89,2088,1387,2021-05-05,2022-01-22,2021-10-05
AY.111,42.52,-2.91,5758,2763,2021-04-12,2022-02-23,2021-10-24
AY.107,41.4,-2.88,2844,1984,2021-01-05,2022-02-15,2021-10-06
AY.82,38.44,0.51,252,128,2021-04-25,2021-12-15,2021-07-02
AY.126,44.27,-3.91,25934,15842,2021-03-09,2022-02-25,2021-12-05
AY.132,50.55,2.59,507,208,2021-08-25,2022-01-14,2021-12-02
AY.123,44.3,-1.84,1261,837,2021-03-09,2022-03-17,2021-11-04
AY.123.1,44.09,-3.1,43,34,2021-08-27,2022-01-05,2021-11-20
AY.100,45.3,-2.85,57946,37789,2021-05-28,2022-03-25,2021-12-05
AY.101,45.5,1.87,3795,2834,2021-02-19,2022-01-25,2021-09-26
AY.42,43.2,-1.32,15865,9684,2021-01-11,2022-04-05,2021-10-10
AY.42.1,44.63,-0.21,366,148,2021-07-14,2022-01-07,2021-10-15
AY.116.1,42.36,-0.23,2746,1756,2021-06-07,2022-01-14,2021-09-11
AY.116,42.13,-0.7,2008,1318,2021-01-21,2022-01-31,2021-09-14
AY.119.2,42.11,-2.67,7477,4112,2021-01-11,2022-02-03,2021-10-14
AY.119.1,47.78,-0.02,451,326,2021-09-21,2022-02-23,2021-11-29
AY.119,41.51,-5.95,23812,14430,2021-07-05,2022-02-28,2021-11-24
AY.29.2,47.71,-1.2,2186,816,2021-07-24,2022-03-14,2021-12-16
AY.29,40.32,-1.58,79240,32972,2021-05-18,2022-03-10,2021-08-31
AY.29.1,39.38,-2.1,4785,2101,2021-03-09,2022-01-17,2021-08-25
AY.112,41.36,-4.29,14157,10571,2021-01-01,2022-03-23,2021-10-27
AY.112.3,47.87,0.73,75,64,2021-08-23,2021-12-30,2021-11-19
AY.112.1,39.67,-1.41,3,3,2021-08-08,2021-08-26,2021-08-19
AY.129,41.94,-3.41,9771,5917,2021-07-01,2022-02-21,2021-10-23
AY.134,41.59,-4.51,3772,1569,2021-05-27,2022-01-27,2021-11-03
AY.121,43.46,-4.88,22907,14720,2021-03-03,2022-03-02,2021-12-07
AY.121.1,47.59,-0.21,2419,1673,2021-08-18,2022-02-16,2021-11-29
AY.113,43.51,-2.02,8088,5785,2021-06-22,2022-02-09,2021-10-25
AY.124,45.26,1.99,5794,3701,2021-02-09,2022-02-05,2021-09-21
AY.124.1.1,47.83,1.74,235,186,2021-06-27,2022-02-17,2021-11-03
AY.124.1,49.28,5,458,327,2021-07-05,2022-01-30,2021-10-06
AY.108,45.9,1.68,490,338,2021-06-28,2022-01-26,2021-10-06
AY.104,43.38,-1.98,424,379,2021-04-21,2022-01-25,2021-10-23
AY.125,45.54,0.05,15620,9288,2021-06-27,2022-03-23,2021-10-25
AY.125.1,45.63,-0.95,16,12,2021-09-07,2021-12-23,2021-11-11
AY.127,48.46,0.18,16622,9954,2021-08-10,2022-03-21,2021-12-07
AY.127.3,51,-0.06,3,3,2021-12-24,2022-02-26,2022-01-18
AY.127.1,47.56,1.74,178,105,2021-09-12,2022-01-01,2021-10-30
AY.127.2,47.94,0.22,96,82,2021-10-02,2022-01-05,2021-11-28
AY.34,47.9,3.24,6162,4188,2021-04-27,2022-02-19,2021-10-12
AY.34.2,50.91,6.21,807,528,2021-07-13,2022-01-10,2021-10-13
AY.34.1,52.52,7.06,4252,2796,2021-03-16,2022-01-30,2021-10-24
AY.34.1.1,51.12,5.77,1566,1146,2021-07-19,2022-01-10,2021-10-23
AY.120,41.68,-3.38,19593,9564,2021-04-28,2022-02-02,2021-10-18
AY.120.1,43.87,1.01,2655,1993,2020-12-27,2022-02-01,2021-09-15
AY.120.2.1,42.66,1.61,1466,590,2021-06-06,2021-12-27,2021-08-18
AY.120.2,41.99,1.88,378,256,2021-05-10,2022-02-14,2021-08-04
AY.22,42.56,1.44,249,156,2021-05-28,2021-12-21,2021-08-19
AY.20,44.13,-2.77,20904,15466,2021-01-14,2022-04-06,2021-11-16
AY.20.1,46.38,-0.16,88,72,2021-09-14,2022-01-11,2021-11-10
AY.36,45.06,-0.28,8129,4812,2020-12-27,2022-02-23,2021-10-23
AY.36.1,43.11,-2.5,3480,2454,2021-03-09,2022-02-23,2021-10-27
AY.39,43.69,-4.24,27645,18590,2021-07-05,2022-03-23,2021-12-01
AY.39.2,43.52,-3.04,1395,979,2021-07-06,2022-05-05,2021-11-10
AY.39.3,42.38,-2.68,32,24,2021-08-07,2022-01-30,2021-10-18
AY.39.1,42.58,-1.33,8856,5036,2021-05-13,2022-04-17,2021-10-01
AY.39.1.4,46.12,-1.79,1119,649,2021-06-07,2022-02-05,2021-12-01
AY.39.1.1,42.42,-3.21,3924,1195,2021-07-28,2022-02-14,2021-10-27
AY.39.1.3,43,-0.11,75,49,2021-07-28,2021-12-15,2021-09-19
AY.39.1.2,44.03,-1.13,683,323,2021-06-25,2022-01-18,2021-10-20
AY.4.3,47.89,2.95,1484,900,2021-06-23,2022-01-29,2021-10-17
AY.4.13,43.4,-3.78,767,519,2021-07-02,2022-02-25,2021-11-20
AY.4.12,43.17,-3.59,623,219,2021-08-13,2022-01-26,2021-11-13
AY.4.4,43.3,-0.32,2130,1441,2021-03-09,2022-02-22,2021-09-26
AY.4.8,43.92,-2.18,3104,1460,2021-07-13,2022-01-28,2021-11-03
AY.4.5,42.06,-2.7,8264,5040,2021-01-11,2022-04-02,2021-10-14
AY.4.11,42.8,-4.04,1079,668,2021-06-24,2022-01-24,2021-11-15
AY.4.17,43.21,-1.82,190,124,2021-08-04,2022-01-07,2021-10-18
AY.4,41.75,-3.1,544651,254838,2021-04-18,2022-04-04,2021-10-15
AY.4.7,40.96,0.45,2361,1213,2021-03-16,2021-12-31,2021-08-10
AY.4.16,44.55,-1.74,240,127,2021-08-14,2021-12-26,2021-11-06
AY.4.15,43.77,-1.26,1805,661,2021-07-07,2022-01-13,2021-10-18
AY.4.14,45.68,1.83,650,228,2021-07-14,2021-12-26,2021-09-30
AY.4.6,50.51,5.02,10862,4136,2021-03-09,2022-01-26,2021-10-25
AY.4.1,42.55,1.71,365,159,2021-06-21,2021-11-29,2021-08-15
AY.4.9,43.86,-2.71,1395,952,2021-06-09,2022-01-22,2021-11-10
AY.4.10,47.85,0.95,1360,559,2021-07-29,2022-05-06,2021-11-16
AY.4.2.1,47.88,0.71,11107,5060,2021-07-29,2022-03-09,2021-11-20
AY.4.2.4,43.42,-4.52,57,49,2021-10-10,2022-01-07,2021-12-01
AY.4.2,44.84,-2.68,60401,27352,2021-06-08,2022-02-13,2021-11-25
AY.4.2.2,44.97,-2.81,20462,8906,2021-07-22,2022-03-13,2021-11-29
AY.4.2.5,44.26,-3.8,557,253,2021-10-22,2022-01-20,2021-12-03
AY.4.2.3,44.97,-2.28,3632,2288,2021-04-28,2022-03-11,2021-11-21
AY.90,42.91,-0.82,1251,586,2021-05-02,2022-01-24,2021-09-28
AY.21,41.81,2.56,323,194,2021-05-26,2021-12-29,2021-07-22
AY.112.2,42.68,-4.03,607,492,2021-01-10,2022-01-24,2021-11-12
AY.44,44.04,-3.23,150841,94291,2021-04-03,2022-05-15,2021-11-21
AY.87,41.34,0.43,960,490,2021-03-09,2022-01-09,2021-08-16
AY.81,41.05,-0.98,394,243,2021-05-28,2021-12-14,2021-09-02
AY.83,42.13,-2.37,524,390,2021-03-09,2022-01-28,2021-10-10
AY.88,41.11,-1,665,464,2021-04-12,2021-12-21,2021-09-03
AY.93,38.94,-3.19,3400,1581,2021-04-25,2022-01-16,2021-09-04
AY.86,39.49,-1.91,619,322,2021-04-23,2022-02-18,2021-08-24
AY.79,42.45,-4.06,1724,1271,2021-01-12,2022-03-17,2021-11-10
AY.105,42.05,-0.96,684,457,2021-05-06,2022-01-01,2021-09-17
AY.76,43.22,-0.66,304,256,2021-05-04,2022-02-22,2021-09-30
AY.80,42.63,-2.5,1069,401,2021-05-02,2022-01-08,2021-10-19
AY.6,39.63,-4.09,18705,8701,2021-04-19,2022-03-25,2021-09-28
AY.94,43.11,2.14,1671,909,2021-03-09,2021-12-28,2021-08-17
AY.114,41.82,-0.71,3235,2138,2021-05-03,2022-01-12,2021-09-10
AY.77,41.69,-0.36,360,247,2021-03-31,2022-01-11,2021-09-03
AY.32,41.57,-0.3,1046,831,2021-05-08,2022-03-23,2021-08-31
AY.95,40.77,0.74,427,311,2021-05-04,2022-01-04,2021-08-03
AY.45,39.01,-1.51,3853,3062,2021-01-19,2022-04-08,2021-08-10
AY.91,42.05,-0.34,862,680,2021-02-08,2022-02-18,2021-09-08
AY.91.1,43.98,2.94,204,91,2021-06-10,2021-12-20,2021-08-18
AY.33.1,48.6,1.42,281,150,2021-07-06,2022-01-04,2021-11-20
AY.33,44.32,-0.82,12919,7765,2021-06-17,2022-04-25,2021-10-20
AY.33.2,43.55,-4.3,424,308,2021-04-24,2022-03-04,2021-11-30
AY.7,41.99,2.13,3424,1552,2021-05-01,2021-12-28,2021-07-31
AY.7.1,42.58,1.47,7511,2802,2021-02-09,2022-02-21,2021-08-19
AY.7.2,42.37,0.7,1416,948,2021-03-16,2021-12-29,2021-08-28
AY.99.2,44.58,-1.52,17422,12434,2021-06-07,2022-03-14,2021-11-03
AY.99.1,43.96,-0.36,870,649,2021-06-30,2022-01-20,2021-10-07
AY.99,40.65,-0.98,304,242,2021-04-19,2022-01-03,2021-08-27
AY.98,42.6,-4.83,27954,12959,2021-08-03,2022-02-21,2021-11-23
AY.98.1,44.34,-2.27,18898,11307,2021-03-16,2022-04-25,2021-11-11
AY.84,42.73,-1.88,993,688,2021-04-09,2022-01-24,2021-10-12
AY.102,43.27,-1.31,1594,1267,2021-04-12,2022-01-31,2021-10-11
AY.102.2,45.73,0.34,251,198,2021-07-12,2022-01-07,2021-10-23
AY.102.1,45.57,1.05,133,106,2021-07-08,2022-01-03,2021-10-10
AY.23.1,45.43,0.53,2168,1095,2021-08-22,2022-04-25,2021-10-16
AY.23,42.58,-0.9,12791,7752,2021-01-11,2022-03-11,2021-09-24
AY.23.2,46.57,4.03,220,151,2021-08-02,2021-12-07,2021-09-10
AY.41,47.11,3.58,2452,1580,2021-06-28,2022-01-18,2021-09-25
AY.103,42.31,-6.31,186338,112917,2021-06-29,2022-04-20,2021-12-12
AY.103.1,48.22,1.2,64,49,2021-08-25,2022-01-04,2021-11-17
AY.103.2,42.8,-5.29,557,171,2021-09-01,2022-01-20,2021-12-04
AY.3.2,43.34,-1.87,106,87,2021-08-04,2022-01-06,2021-10-21
AY.3,44.05,-4.26,95644,63803,2021-06-13,2022-03-28,2021-12-07
AY.3.4,45.33,-2.19,3,3,2021-11-06,2021-12-29,2021-11-25
AY.3.3,49.27,1.81,704,447,2021-09-01,2022-01-28,2021-11-24
AY.3.1,46.51,2.29,9419,6488,2021-06-01,2022-01-22,2021-10-06
AY.25,42.35,-5.71,85909,53735,2021-04-22,2022-04-26,2021-12-03
AY.25.3,43.79,-1.94,1816,1115,2021-07-16,2022-01-17,2021-10-29
AY.25.2,44.01,-1.39,256,198,2021-07-12,2022-01-18,2021-10-24
AY.25.1,41.8,-4.25,91612,43615,2021-06-08,2022-04-28,2021-11-03
AY.25.1.2,45.75,-2.32,28,25,2021-09-28,2022-01-03,2021-12-03
AY.25.1.1,43.21,-2.15,116,98,2021-08-07,2021-12-30,2021-10-23
AY.122.6,45.06,-2.96,692,441,2021-09-14,2022-02-07,2021-12-03
AY.122.2,40.73,-1.57,3186,1563,2021-06-22,2022-01-18,2021-09-06
AY.122.3,44.3,-2.88,1023,362,2021-10-13,2022-02-03,2021-11-20
AY.122.5,44.41,-3.22,4072,2439,2021-08-08,2022-02-02,2021-11-27
AY.122,43.57,-5.51,123264,77688,2021-05-24,2022-04-14,2021-12-19
AY.122.4,42.07,-4.4,1145,783,2021-06-09,2022-01-20,2021-11-09
AY.122.1,42.8,1.07,1594,1099,2021-06-13,2022-01-01,2021-08-29
AY.46.3,41.05,-2.1,1167,767,2021-06-21,2022-03-10,2021-09-19
AY.46.2,39.67,-5.03,1173,760,2021-03-09,2022-01-27,2021-10-13
AY.46.4,40.2,-3.54,3783,2470,2021-05-27,2022-02-09,2021-09-28
AY.46.1,41.27,-3.76,892,544,2021-06-26,2022-01-09,2021-10-18
AY.46.6,41.25,-6.32,17154,10516,2021-01-13,2022-04-05,2021-11-26
AY.46.6.1,45.55,-2.58,138,83,2021-10-17,2022-02-17,2021-12-04
AY.46,40.98,-3.92,10568,5433,2021-03-09,2022-02-14,2021-10-16
AY.46.5,40.56,-4.43,5175,2157,2021-05-31,2022-01-15,2021-10-17
AY.5,40.37,-5.55,38762,19020,2021-03-16,2022-02-15,2021-11-01
AY.5.4,40.35,-3.46,2073,1372,2021-06-18,2022-01-29,2021-09-29
AY.5.5,40.62,-0.64,359,205,2021-06-02,2021-12-02,2021-08-21
AY.5.6,41,-2.77,7,7,2021-07-30,2021-12-13,2021-09-29
AY.5.3,40.21,-3.27,1527,982,2021-07-02,2022-02-16,2021-09-24
AY.5.1,38.56,-0.48,160,99,2021-06-04,2021-10-03,2021-07-19
AY.5.2,41.73,-0.1,321,205,2021-05-31,2021-12-24,2021-08-30
AY.5.7,46.99,-1.22,96,70,2021-11-11,2021-12-31,2021-12-05
AY.43.5,43.8,-3.96,197,101,2021-10-23,2022-01-24,2021-11-29
AY.43.8,41.29,-4.13,2100,1312,2021-01-12,2022-02-15,2021-10-24
AY.43.9,40.73,-6.69,475,319,2021-09-16,2022-02-01,2021-11-23
AY.43.6,42.67,-4.26,5773,1694,2021-08-31,2022-01-18,2021-11-16
AY.43,39.47,-8.37,198573,98025,2021-01-14,2022-05-09,2021-11-30
AY.43.2,41.8,-2.82,974,608,2021-07-05,2022-01-20,2021-10-12
AY.43.4,42.56,-4.72,1781,883,2021-09-06,2022-04-19,2021-11-21
AY.43.1,42.43,-2.74,748,421,2021-07-19,2022-01-02,2021-10-20
AY.43.7,42.23,-4.93,148,98,2021-09-19,2021-12-27,2021-11-19
AY.43.3,41.06,-5.47,1274,822,2021-07-26,2022-02-12,2021-11-10
XC,40.74,-1.46,23,16,2021-07-31,2021-10-16,2021-09-05
AY.31,46.1,7.4,29,27,2021-06-30,2021-08-17,2021-07-13
AY.30,42.75,0.08,2642,2121,2021-02-04,2022-03-21,2021-09-12
AY.40,43.95,3.19,450,248,2021-07-12,2021-10-25,2021-08-14
AY.50,36.62,-2.09,986,347,2021-04-13,2021-11-08,2021-07-14
AY.53,39.56,0.51,1952,1192,2021-03-09,2021-11-17,2021-07-19
AY.49,43.91,4.42,131,101,2021-04-30,2021-11-15,2021-07-25
AY.52,39.18,-1.05,1057,715,2021-04-05,2022-01-06,2021-08-06
AY.8,35.69,-0.98,1111,365,2021-04-20,2021-08-30,2021-06-12
AY.15,35.99,-1.81,703,459,2021-03-01,2021-12-08,2021-06-30
AY.14,39.16,-1.85,9575,5549,2021-03-30,2022-01-06,2021-08-18
AY.54,38.71,-2.79,8571,5313,2021-03-29,2022-02-10,2021-08-25
AY.13,39.13,-1.11,4256,2587,2021-04-13,2022-01-19,2021-08-06
AY.18,38.81,1.92,31,12,2021-06-02,2021-07-20,2021-06-16
AY.16,38.17,-0.68,1609,1179,2021-02-09,2022-01-17,2021-07-16
AY.16.1,40.09,-0.88,281,157,2021-06-24,2021-11-15,2021-08-17
B.1.617.2,38.31,-8.9,103163,62062,2021-02-10,2022-04-12,2021-11-20
AY.19,39.63,-0.61,235,190,2021-04-15,2021-12-03,2021-08-06
AY.17,36.66,-1.34,67,40,2021-05-16,2021-08-17,2021-07-03
AY.51,43.68,-0.32,1101,788,2021-03-25,2022-01-13,2021-10-02
AY.62,39.42,-1.39,1508,1057,2021-02-09,2022-01-22,2021-08-15
AY.55,30.65,-6.06,873,748,2021-01-29,2021-12-22,2021-06-13
AY.10,37.54,1.07,926,373,2021-03-24,2021-10-21,2021-06-09
AY.28,41.58,-3.54,295,247,2021-05-22,2022-01-07,2021-10-19
AY.67,38.18,-2.03,1340,853,2021-04-01,2021-12-23,2021-08-05
AY.66,40.72,-2.85,1371,577,2021-04-10,2022-01-02,2021-09-26
AY.27,39.64,-3.7,16022,6372,2021-05-04,2022-04-28,2021-09-22
AY.11,37.2,0.53,461,174,2021-04-20,2021-11-09,2021-06-12
AY.70,40.3,-0.15,3192,1750,2021-03-16,2022-01-19,2021-08-09
AY.47,38.07,-6.72,26633,16406,2021-06-01,2022-04-19,2021-10-14
AY.61,33.3,-6.56,1846,1131,2021-04-04,2022-01-03,2021-07-31
AY.64,42.36,0.23,1242,770,2021-04-18,2021-12-22,2021-09-04
AY.68,42.54,2.17,1914,1059,2021-06-09,2022-01-17,2021-08-08
AY.60,40.55,-0.86,750,421,2021-06-21,2021-12-16,2021-08-24
AY.59,39.22,-4.75,2529,2005,2021-01-08,2022-03-11,2021-10-02
AY.69,43.35,-2.45,10900,7138,2021-06-22,2022-01-31,2021-10-30
AY.24,36.05,-4.48,2206,1500,2021-03-09,2022-04-01,2021-08-10
AY.24.1,44.7,-3.03,499,203,2021-07-21,2022-02-03,2021-11-28
BA.2.2,73.43,18.84,1882,953,2022-01-01,2022-05-15,2022-03-13
AY.57,35.85,-7.71,1683,1061,2021-04-21,2022-03-27,2021-09-26
AY.63,44.02,2.96,2235,854,2021-06-10,2021-12-16,2021-08-18
AY.56,37.78,-2.81,319,204,2021-04-06,2022-01-05,2021-08-11
AY.38,36.19,-3.4,908,694,2021-03-27,2022-01-10,2021-07-27
AY.9,34.46,-5.02,9853,4828,2021-03-27,2022-02-15,2021-07-25
AY.9.2,37.11,-9.26,30244,17040,2021-01-11,2022-03-17,2021-11-08
AY.9.2.2,40.82,-4.7,766,423,2021-08-18,2022-01-12,2021-10-25
